"code","name","state","district","subdivision","pop","tier","lat","lon","canonical"
"A-MALWA","Agar-malwa","MADHYA PRADESH","AGAR-MALWA","WEST MADHYA PRADESH",37917,3,23.8,76.05,true
"AAA","Ahmednagar","MAHARASHTRA","AHMEDNAGAR","MADHYA MAHARASHTRA",367140,2,19.08,74.8,true
"ABG","Alibag","MAHARASHTRA","RAIGAD","KONKAN & GOA",195373,3,18.63,72.87,true
"ABP","Ambikapur","CHHATTISGARH","SURGUJA","CHHATTISGARH",121071,3,23.17,83.25,true
"ADILABAD","Adilabad","TELANGANA","ADILABAD","TELANGANA",118526,3,19.55,78.57,true
"AGA","AGATTI","LAKSHADWEEP (UT)","LAKSHADWEEP","LAKSHADWEEP",11210,3,10.82,72.17,true
"AGB","Agumbe","KARNATAKA","SHIVAMOGGA","SOUTHERN INTERIOR KARNATAKA",322650,2,13.5,75.08,true
"AGD","Aurangabad","MAHARASHTRA","CHHATRAPATI SAMBHAJINAGAR","MARATHWADA",1175116,1,19.85,75.4,true
"AGR","MO Taj","UTTAR PRADESH","AGRA","WEST UTTAR PRADESH",1430055,1,27.17,78.03,true
"AGRA","Agra","UTTAR PRADESH","AGRA","WEST UTTAR PRADESH",1430055,1,27.08,78.04,true
"AGT","Agartala","TRIPURA","WEST TRIPURA","NMMT",400004,2,23.88,91.25,true
"AHM","Ahmedabad","GUJARAT","AHMEDABAD","GUJARAT REGION",6357693,0,23.07,72.63,true
"AHMEDABAD","Ahmedabad","GUJARAT","AHMEDABAD","GUJARAT REGION",6357693,0,22.9,72.32,false
"AHMEDNAGAR","Ahmednagar","MAHARASHTRA","AHMEDNAGAR","MADHYA MAHARASHTRA",367140,2,19.16,74.6,false
"AIZWAL","Aizawl","MIZORAM","AIZAWL","NMMT",293416,2,23.84,92.92,false
"AJM","Ajmer","RAJASTHAN","AJMER","EAST RAJASTHAN",542321,2,26.45,74.62,true
"AJMER","Ajmer","RAJASTHAN","AJMER","EAST RAJASTHAN",542321,2,26.31,74.64,false
"AKL","Akola","MAHARASHTRA","AKOLA","VIDARBHA",428857,2,20.7,77.07,true
"AKOLA","Akola","MAHARASHTRA","AKOLA","VIDARBHA",428857,2,20.76,77.15,false
"ALA","Alappuzha","KERALA","ALAPUZHA","KERALA & MAHE",240991,2,9.55,76.42,true
"ALAPPUZHA","Alapuzha","KERALA","ALAPUZHA","KERALA & MAHE",240991,2,9.49,76.49,true
"ALB","ALLAHABAD","UTTAR PRADESH","PRAYAGRAJ","EAST UTTAR PRADESH",1073438,1,25.45,81.73,true
"ALD","Adilabad\r\n","TELANGANA","ADILABAD","TELANGANA",118526,3,19.65,78.53,true
"ALG","Aligarh","UTTAR PRADESH","ALIGARH","WEST UTTAR PRADESH",753207,2,27.88,78.07,true
"ALIGARH","Aligarh","UTTAR PRADESH","ALIGARH","WEST UTTAR PRADESH",753207,2,27.88,78.05,false
"ALIRAJPUR","Alirajpur","MADHYA PRADESH","ALIRAJPUR","WEST MADHYA PRADESH",28498,3,22.28,74.39,true
"ALJ","Alirajpur","MADHYA PRADESH","ALIRAJPUR","WEST MADHYA PRADESH",28498,3,22.28,74.4,false
"ALMORA","Almora","UTTARAKHAND","ALMORA","UTTARAKHAND",32442,3,29.7,79.56,true
"ALN","Along","ARUNACHAL PRADESH","WEST SIANG","ARUNACHAL PRADESH",20684,3,28.16,94.8,true
"ALP","Kolkata","WEST BENGAL","KOLKATA","GANGETIC WEST BENGAL",4631392,1,22.53,88.33,true
"ALW","Alwar","RAJASTHAN","ALWAR","EAST RAJASTHAN",322568,2,27.5,76.58,true
"ALWAR","Alwar","RAJASTHAN","ALWAR","EAST RAJASTHAN",322568,2,27.64,76.67,false
"AMB","Ambala","HARYANA","AMBALA","DELHI, HARYANA AND CHANDIGARH",195153,3,30.38,76.77,true
"AMBALA","Ambala","HARYANA","AMBALA","DELHI, HARYANA AND CHANDIGARH",195153,3,30.33,76.88,false
"AMBEDKAR","Ambedkar Nagar","UTTAR PRADESH","AMBEDKAR NAGAR","EAST UTTAR PRADESH",88073,3,26.43,82.7,true
"AMETHI","Amethi","UTTAR PRADESH","AMETHI","EAST UTTAR PRADESH",25726,3,26.35,81.63,true
"AML","Amreli","GUJARAT","AMRELI","SAURASHTRA & KUTCH",117967,3,21.6,71.22,true
"AMN","Amini Divi","LAKSHADWEEP (UT)","LAKSHADWEEP","LAKSHADWEEP",11210,3,11.12,72.73,true
"AMR","Amritsar","PUNJAB","AMRITSAR","PUNJAB",1159227,1,31.63,74.87,true
"AMRAVATI","Amraoti","MAHARASHTRA","AMRAOTI","VIDARBHA",647057,2,21.16,77.54,true
"AMRELI","Amreli","GUJARAT","AMRELI","SAURASHTRA & KUTCH",117967,3,21.37,71.2,false
"AMRITSAR","Amritsar","PUNJAB","AMRITSAR","PUNJAB",1159227,1,31.76,74.94,false
"AMT","Amravati","MAHARASHTRA","AMRAOTI","VIDARBHA",647057,2,20.93,77.78,true
"ANAND","Anand","GUJARAT","ANAND","GUJARAT REGION",209410,2,22.44,72.78,true
"ANANTNAG","Anantnag","JAMMU & KASHMIR (UT)","ANANTNAG","JAMMU & KASHMIR AND LADAKH",150592,3,33.67,75.17,true
"ANANTPUR","Sri Sathyasai District","ANDHRA PRADESH","SRI SATHYASAI DISTRICT","RAYALSEEMA",151677,3,14.45,77.62,true
"ANATNAG","Anantnag","JAMMU & KASHMIR (UT)","ANANTNAG","JAMMU & KASHMIR AND LADAKH",150592,3,33.59,75.38,false
"ANDAMAN","South Andaman","ANDAMAN & NICOBAR ISLANDS (UT)","SOUTH ANDAMAN","ANDAMAN & NICOBAR ISLANDS",112050,3,11.41,93.04,true
"ANG","Angul","ODISHA","ANGUL","ODISHA",44386,3,20.83,85.1,true
"ANGUL","Angul","ODISHA","ANGUL","ODISHA",44386,3,20.9,84.83,false
"ANJAW","Anjaw","ARUNACHAL PRADESH","ANJAW","ARUNACHAL PRADESH",982,3,28.04,96.85,true
"ANP","Anupgarh","RAJASTHAN","SRI GANGANAGAR","WEST RAJASTHAN",237780,2,29.17,73.17,true
"ANT","Anantapuramu","ANDHRA PRADESH","ANANTAPURAMU","RAYALSEEMA",267161,2,14.68,77.62,true
"ANUPPUR","Anuppur","MADHYA PRADESH","ANUPPUR","EAST MADHYA PRADESH",32682,3,23.03,81.66,true
"ARA","Arrah","BIHAR","BHOJPUR","BIHAR",261430,2,25.57,84.67,true
"ARARIA","Araria","BIHAR","ARARIA","BIHAR",79021,3,26.26,87.37,true
