"code","station","state","lat","lon"
"A-MALWA","A-Malwa","Madhya Pradesh",23.8,76.05
"AAA","Aaa","Maharashtra",19.08,74.8
"ABG","Abg","",18.63,72.87
"ABP","Abp","Chhattisgarh",23.17,83.25
"ADILABAD","Adilabad","Andhra Pradesh",19.55,78.57
"AGA","Aga","",10.82,72.17
"AGB","Agb","Karnataka",13.5,75.08
"AGD","Agd","Maharashtra",19.85,75.4
"AGR","Agr","Uttar Pradesh",27.17,78.03
"AGRA","Agra","Uttar Pradesh",27.08,78.04
"AGT","Agt","Tripura",23.88,91.25
"AHM","Ahm","Gujarat",23.07,72.63
"AHMEDABAD","Ahmedabad","Gujarat",22.9,72.32
"AHMEDNAGAR","Ahmednagar","Maharashtra",19.16,74.6
"AIZWAL","Aizwal","Mizoram",23.84,92.92
"AJM","Ajm","Rajasthan",26.45,74.62
"AJMER","Ajmer","Rajasthan",26.31,74.64
"AKL","Akl","Maharashtra",20.7,77.07
"AKOLA","Akola","Maharashtra",20.76,77.15
"ALA","Ala","",9.55,76.42
"ALAPPUZHA","Alappuzha","Kerala",9.49,76.49
"ALB","Prayagraj","Uttar Pradesh",25.45,81.73
"ALD","Ald","Andhra Pradesh",19.65,78.53
"ALG","Alg","Uttar Pradesh",27.88,78.07
"ALIGARH","Aligarh","Uttar Pradesh",27.88,78.05
"ALIRAJPUR","Alirajpur","Madhya Pradesh",22.28,74.39
"ALJ","Alj","Madhya Pradesh",22.28,74.4
"ALMORA","Almora","Uttaranchal",29.7,79.56
"ALN","Aln","Arunachal Pradesh",28.16,94.8
"ALP","Alp","West Bengal",22.53,88.33
"ALW","Alw","Rajasthan",27.5,76.58
"ALWAR","Alwar","Rajasthan",27.64,76.67
"AMB","Amb","Haryana",30.38,76.77
"AMBALA","Ambala","Haryana",30.33,76.88
"AMBEDKAR","Ambedkar","Uttar Pradesh",26.43,82.7
"AMETHI","Amethi","Uttar Pradesh",26.35,81.63
"AML","Aml","Gujarat",21.6,71.22
"AMN","Amn","",11.12,72.73
"AMR","Amr","Punjab",31.63,74.87
"AMRAVATI","Amravati","Maharashtra",21.16,77.54
"AMRELI","Amreli","Gujarat",21.37,71.2
"AMRITSAR","Amritsar","Punjab",31.76,74.94
"AMT","Amt","Maharashtra",20.93,77.78
"ANAND","Anand","Gujarat",22.44,72.78
"ANANTNAG","Anantnag","Jammu and Kashmir",33.67,75.17
"ANANTPUR","Anantpur","Andhra Pradesh",14.45,77.62
"ANATNAG","Anatnag","Jammu and Kashmir",33.59,75.38
"ANDAMAN","Andaman","",11.41,93.04
"ANG","Ang","Orissa",20.83,85.1
"ANGUL","Angul","Orissa",20.9,84.83
"ANJAW","Anjaw","Arunachal Pradesh",28.04,96.85
"ANP","Anp","Rajasthan",29.17,73.17
"ANT","Ant","Andhra Pradesh",14.68,77.62
"ANUPPUR","Anuppur","Madhya Pradesh",23.03,81.66
"ARA","Ara","Bihar",25.57,84.67
"ARARIA","Araria","Bihar",26.26,87.37
"ARAVALLI","Aravalli","Gujarat",23.49,73.42
"ARIYALUR","Ariyalur","Tamil Nadu",11.15,79.23
"ARP","Arp","Tamil Nadu",10.33,79.38
"ART","Art","",10.8,73.68
"ARV","Arv","Andhra Pradesh",13.53,78.5
"ARWAL","Arwal","Bihar",25.18,84.38
"ASHOKNAGAR","Ashoknagar","Madhya Pradesh",24.62,77.88
"AUGUSTMUNI","Augustmuni","Uttaranchal",30.39,79.02
"AURAIYA","Auraiya","Uttar Pradesh",26.66,79.5
"AURANGABAD","Aurangabad","Bihar",24.81,84.38
"AVADI","Avadi","Tamil Nadu",13.12,80.08
"AYL","Ayl","Tamil Nadu",11.23,79.29
"AZAMGARH","Azamgarh","Uttar Pradesh",26.05,83.09
"AZG","Azg","Uttar Pradesh",26.05,83.22
"AZL","Azl","Mizoram",23.73,92.71
"Airport_IMD","Airport_IMD","Gujarat",23.0768,72.6279
"BABATPUR","Babatpur","Uttar Pradesh",25.26,82.51
"BADAYUN","Badayun","Uttar Pradesh",28.06,78.89
"BADGAM","Badgam","Jammu and Kashmir",33.86,74.66
"BADRADRI","Badradri","Andhra Pradesh",17.72,80.76
"BADRINATH","Badrinath","Uttaranchal",30.74,79.49
"BADWANI","Badwani","Madhya Pradesh",21.75,75.03
"BAG","Bag","West Bengal",22.98,88.37
"BAGALKOT","Bagalkot","Karnataka",16.17,75.65
"BAGALKOTE","Bagalkote","Karnataka",16.29,75.66
"BAGESHWAR","Bageshwar","Uttaranchal",29.9,79.82
"BAGHPAT","Baghpat","Uttar Pradesh",29.04,77.32
"BAHRAICH","Bahraich","Uttar Pradesh",27.73,81.4
"BAKSHA","Baksha","Assam",26.65,91.31
"BALAGHAT","Balaghat","Madhya Pradesh",21.86,80.28
"BALAGIR","Balagir","Orissa",20.61,83.18
"BALASORE","Balasore","Orissa",21.28,86.68
"BALLIA","Ballia","Uttar Pradesh",25.88,84.16
"BALOD","Balod","Chhattisgarh",20.7,81.18
"BALODABAZAR","Balodabazar","Chhattisgarh",21.54,82.32
"BALRAMPUR","Balrampur","Chhattisgarh",23.85,83.35
"BALTAL","Baltal","Jammu and Kashmir",34.26,75.42
"BANASKANTHA","Banaskantha","Gujarat",24.27,72.15
"BANDA","Banda","Uttar Pradesh",25.44,80.57
"BANGALORE-RURAL","Bangalore-Rural","Karnataka",13.27,77.57
"BANKA","Banka","Bihar",24.83,86.83
"BANSWARA","Banswara","Rajasthan",23.49,74.36
"BARABANKI","Barabanki","Uttar Pradesh",26.94,81.33
"BARAGARH","Baragarh","Orissa",21.24,83.55
"BARAMULLAH","Baramullah","Jammu and Kashmir",34.1,74.42
"BARAN","Baran","Rajasthan",24.92,76.82
"BAREILLY","Bareilly","Uttar Pradesh",28.45,79.38
"BARKOT","Barkot","Uttaranchal",30.81,78.21
"BARMER","Barmer","Rajasthan",25.58,71.47
"BARNALA","Barnala","Punjab",30.39,75.5
"BARODA","Baroda","Gujarat",22.31,73.27
"BARPETA","Barpeta","Assam",26.43,91.09
"BASTER","Baster","Chhattisgarh",19.14,81.77
"BASTI","Basti","Uttar Pradesh",26.76,82.6
"BAUDA","Bauda","Orissa",20.75,84.18
"BBS","Bbs","Orissa",20.25,85.83
"BDA","Bda","Uttar Pradesh",25.47,80.37
"BDG","Bdg","West Bengal",26.63,88.32
"BDI","Bdi","Rajasthan",25.45,75.63
"BDN","Bdn","Maharashtra",20.53,76.23
"BDS","Bds","Uttar Pradesh",28.4,77.87
"BDU","Bdu","Uttar Pradesh",28.05,79.12
"BEGUSARAI","Begusarai","Bihar",25.51,86.13
"BELGAUM","Belgaum","Karnataka",16.16,74.77
"BELLARY","Bellary","Karnataka",15.19,76.42
"BEMATARA","Bematara","Chhattisgarh",21.65,81.45
"BETUL","Betul","Madhya Pradesh",21.88,77.78
"BGK","Bgk","Karnataka",16.7,75.25
"BGP","Bgp","Bihar",25.23,86.95
"BGT","Bgt","West Bengal",25.22,88.78
"BHABUA","Bhabua","Bihar",24.98,83.61
"BHADRAK","Bhadrak","Orissa",20.99,86.62
"BHAGALPUR","Bhagalpur","Bihar",25.28,87.1
"BHANDARA","Bhandara","Maharashtra",21.12,79.77
"BHARATPUR","Bharatpur","Rajasthan",27.06,77.32
"BHATINDA","Bhatinda","Punjab",30.18,75
"BHATWARI","Bhatwari","Uttaranchal",30.81,78.61
"BHAVNAGAR","Bhavnagar","Gujarat",21.67,71.95
"BHILWARA","Bhilwara","Rajasthan",25.49,74.74
"BHIND","Bhind","Madhya Pradesh",26.35,78.68
"BHIWANI","Bhiwani","Haryana",28.73,75.98
"BHJ","Bhj","Gujarat",23.25,69.67
"BHOJPUR","Bhojpur","Bihar",25.45,84.57
"BHOPAL","Bhopal","Madhya Pradesh",23.49,77.41
"BHP","Bhp","Madhya Pradesh",23.28,77.35
"BHU","Bhu","Gujarat",21.75,72.2
"BHUNTAR","Bhuntar","Himachal Pradesh",31.87,77.15
"BID","Bid","Maharashtra",18.94,75.77
"BIDAR","Bidar","Karnataka",18.03,77.18
"BIJAPUR","Bijapur","Karnataka",16.81,75.9
"BIJNORE","Bijnore","Uttar Pradesh",29.41,78.46
"BIKANER","Bikaner","Rajasthan",28.12,73.13
"BIL","Bil","Himachal Pradesh",31.25,76.67
"BILASPUR","Bilaspur","Chhattisgarh",22.62,82
"BILASPUR-HP","Bilaspur-Hp","Himachal Pradesh",31.35,76.66
"BIR","Bir","Maharashtra",19,75.72
"BIRBHUM","Birbhum","West Bengal",23.85,87.56
"BISHNUPUR","Bishnupur","Manipur",24.51,93.8
"BISWANATH","Biswanath","Assam",26.89,93.42
"BITRA","Bitra","",11.55,72.15
"BJC_CHA","Bijapur","Chhattisgarh",18.77,80.74
"BJP","Bjp","Karnataka",16.82,75.72
"BKN","Bkn","Rajasthan",28,73.3
"BLA","Bla","Uttar Pradesh",25.75,84.17
"BLD","Bld","Chhattisgarh",18.71,81.23
"BLG","Blg","Karnataka",15.85,74.62
"BLN","Bln","Karnataka",13.37,75.45
"BLR","Blr","Orissa",20.7,83.5
"BLS","Bls","Orissa",21.52,86.93
"BLW","Blw","Rajasthan",25.35,74.63
"BLY","Bly","Karnataka",15.15,76.85
"BMB","Bmb","Maharashtra",19.12,72.83
"BMD","Bmd","Arunachal Pradesh",27.42,92.85
"BMP","Bmp","Maharashtra",20.6,79.85
"BMT","Bmt","Maharashtra",18.15,74.58
"BND","Bnd","Madhya Pradesh",26.57,78.8
"BNG","Bng","Karnataka",12.97,77.58
"BNG-URBAN","Bng-Urban","Karnataka",12.94,77.78
"BNK","Bnk","West Bengal",23.25,87.05
"BNL","Bnl","Jammu and Kashmir",33.43,75.19
"BNT","Bnt","Himachal Pradesh",31.83,77.17
"BOKARO","Bokaro","Jharkhand",23.69,86.01
"BONGAIGAON","Bongaigaon","Assam",26.35,90.62
"BOTAD","Botad","Gujarat",22.15,71.75
"BPD","Bpd","Orissa",21.93,86.77
"BPT","Bpt","Andhra Pradesh",15.9,80.47
"BRA","Bra","Maharashtra",18.45,73.4
"BRC","Brc","Uttar Pradesh",27.57,81.6
"BRD","Brd","Gujarat",22.3,73.25
"BRH","Brh","Gujarat",21.73,73
"BRL","Brl","Uttar Pradesh",28.37,79.4
"BRM","Brm","Rajasthan",25.75,71.38
"BROACH","Broach","Gujarat",21.73,73
"BRP","Brp","West Bengal",24.13,88.27
"BRT","Brt","Rajasthan",27.22,77.5
"BST","Bst","Uttar Pradesh",26.8,82.73
"BSW","Bsw","Rajasthan",23.55,74.45
"BTD","Btd","Punjab",30.21,74.94
"BTL","Btl","Madhya Pradesh",21.87,77.93
"BTT","Btt","Jammu and Kashmir",33.07,75.19
"BUL","Bul","Gujarat",20.62,72.93
"BULANDSHAHR","Bulandshahr","Uttar Pradesh",28.39,78.07
"BULDHANA","Buldhana","Maharashtra",20.57,76.38
"BUNDI","Bundi","Rajasthan",25.44,75.79
"BURDWAN","Burdwan","West Bengal",23.4,87.75
"BURHANPUR","Burhanpur","Madhya Pradesh",21.33,76.37
"BUXAR","Buxar","Bihar",25.51,84.08
"BWN","Bwn","West Bengal",23.23,87.85
"BWP","Bwp","Orissa",19.92,83.18
"Bihta_bihar","Bihta_bihar","Bihar",25.557,84.8917
"CACHER","Cacher","Assam",24.76,92.86
"CAVE","Cave","Jammu and Kashmir",34.22,75.51
"CBL","Cbl","Orissa",20.78,86.73
"CBS","Cbs","Jharkhand",22.55,85.82
"CDL","Cdl","Tamil Nadu",11.77,79.77
"CDP","Cdp","Andhra Pradesh",14.48,78.83
"CENTRAL-DELHI","Central-Delhi","Delhi",28.67,77.22
"CENTRAL-SIKKIM","Central-Sikkim","Sikkim",27.6,88.51
"CHA","Cha","Bihar",25.78,84.73
"CHAMARAJNAGAR","Chamarajnagar","Karnataka",11.94,77.09
"CHAMBA","Chamba","Himachal Pradesh",32.69,76.34
"CHAMPAWAT","Champawat","Uttaranchal",29.29,80.06
"CHAMPHAI","Champhai","Mizoram",23.54,93.23
"CHANDAULI","Chandauli","Bihar",25.22,83.49
"CHANDEL","Chandel","Manipur",24.1,94.07
"CHANDIGARH","Chandigarh","Chandigarh",30.73,76.77
"CHANDRAPUR","Chandrapur","Maharashtra",20.09,79.4
"CHANGLANG","Changlang","Arunachal Pradesh",27.47,96.4
"CHARAIDEO","Charaideo","Assam",27.07,95.07
"CHARKHI-DADRI","Charkhi-Dadri","Haryana",28.6,76.15
"CHATRAI","Chatrai","Jharkhand",24.1,84.9
"CHB","Chb","West Bengal",26.33,89.47
"CHD","Chd","Haryana",30.73,76.88
"CHEMBARAPAKKAM","Chembarapakkam","Tamil Nadu",13.02,80.04
"CHENNAI","Chennai","Tamil Nadu",13.07,80.25
"CHETLAT","Chetlat","",11.69,72.7
"CHHATARPUR","Chhatarpur","Madhya Pradesh",24.76,79.71
"CHHINDWARA","Chhindwara","Madhya Pradesh",22.14,78.83
"CHIKBALLAPUR","Chikballapur","Karnataka",13.59,77.79
"CHIKMAGALUR","Chikmagalur","Karnataka",13.4,75.72
"CHILAS","Chilas","",35.3,74.25
"CHINYALISOUR","Chinyalisour","Uttaranchal",30.57,78.32
"CHIRANG","Chirang","Assam",26.65,90.65
"CHITRADURGA","Chitradurga","Karnataka",14.31,76.53
"CHITRAKUT","Chitrakut","Uttar Pradesh",25.22,81.12
"CHITTAURGARH","Chittaurgarh","Rajasthan",24.92,74.76
"CHITTOOR","Chittoor","Andhra Pradesh",13.31,79.06
"CHM","Chm","Uttaranchal",30.4,79.33
"CHN","Chn","",9.95,76.27
"CHOTA-UDEPUR","Chota-Udepur","Gujarat",22.22,73.89
"CHP","Chp","Chhattisgarh",22.03,82.7
"CHT","Cht","Karnataka",14.23,76.43
"CHURACHANDPUR","Churachandpur","Manipur",24.28,93.43
"CHURU","Churu","Rajasthan",28.4,74.76
"CHW","Chw","Madhya Pradesh",22.1,79
"CKG","Ckg","Karnataka",13.25,75.75
"CLB","Clb","",18.9,72.82
"CMB","Cmb","Tamil Nadu",11,76.97
"CML","Cml","Rajasthan",24.92,75.58
"CNB","Cnb","Andaman and Nicobar",9.17,92.83
"CNG","Cng","West Bengal",22.25,88.67
"CNN","Cnn","",11.83,75.33
"CNR","Cnr","Tamil Nadu",11.35,76.8
"CNT","Cnt","West Bengal",21.78,87.75
"CNW","Cnw","Jammu and Kashmir",34.14,74.12
"COIMBATORE","Coimbatore","Tamil Nadu",10.95,76.98
"CPJ","Cpj","Meghalaya",25.25,91.73
"CPM","Cpm","Assam",26.2,92.52
"CPR","Cpr","Maharashtra",19.97,79.3
"CRU","Cru","Rajasthan",28.25,74.92
"CTG","Ctg","Rajasthan",24.88,74.63
"CTK","Ctk","Orissa",20.47,85.93
"CUDDALORE","Cuddalore","Tamil Nadu",11.52,79.45
"CUDDEPAH","Cuddepah","Andhra Pradesh",14.4,78.65
"CUTTACK","Cuttack","Orissa",20.5,85.84
"Chandkheda","Chandkheda","Gujarat",23.108,72.5746
"DAKSHAN-DINAJPUR","Dakshan-Dinajpur","West Bengal",25.38,88.6
"DAKSHINA-KANNAD","Dakshina-Kannad","Karnataka",13.07,75.17
"DAL","Dal","Himachal Pradesh",32.53,75.97
"DAMOH","Damoh","Madhya Pradesh",23.8,79.51
"DANGS","Dangs","Gujarat",20.82,73.71
"DANTEWADA","Dantewada","Chhattisgarh",18.77,81.44
"DARBHANGA","Darbhanga","Bihar",26.16,86.04
"DARJEELING","Darjeeling","West Bengal",26.85,88.25
"DARRANG","Darrang","Assam",26.44,92.07
"DATIA","Datia","Madhya Pradesh",25.92,78.53
"DAUSA","Dausa","Rajasthan",26.81,76.62
"DBG","Dbg","Bihar",26.17,85.9
"DBH","Dbh","Assam",27.48,95.02
"DDM","Ddm","West Bengal",22.65,88.45
"DDN","Ddn","Uttaranchal",30.32,78.03
"DEHRADUN","Dehradun","Uttaranchal",30.4,77.85
"DEMAJ","Demaj","Assam",27.54,94.7
"DEOGARH","Deogarh","Orissa",21.49,84.8
"DEOGHAR","Deoghar","Jharkhand",24.33,86.76
"DEORIA","Deoria","Uttar Pradesh",26.42,83.84
"DER","Der","Bihar",24.92,84.18
"DEVANGERE","Devangere","Karnataka",14.37,75.96
